id,name,code,period,department,employee,last_update,ehd_update,filename
277190,13510000102010200001 Количество активных предприятий,13510000102010200001,2017 - 2018,Управление статистики предприятий,Пичугина Е. В.,2019-03-27T11:33:03+00:00,2019-03-18T09:05:33+00:00,13510000102010200001_Количество_активных_предприятий.csv
277192,13510000102040200001 Количество родившихся предприятий,13510000102040200001,2017 - 2018,Управление статистики предприятий,Пичугина Е. В.,2019-03-25T08:19:50+00:00,2019-03-18T09:17:28+00:00,13510000102040200001_Количество_родившихся_предприятий.csv
277194,13510000102070200001 Количество умерших предприятий,13510000102070200001,2017 - 2018,Управление статистики предприятий,Пичугина Е. В.,2019-03-25T08:19:50+00:00,2019-03-18T09:23:32+00:00,13510000102070200001_Количество_умерших_предприятий.csv
277196,13510000102120200001 Количество однолетних предприятий,13510000102120200001,2017 - 2018,Управление статистики предприятий,Пичугина Е. В.,2019-03-25T08:26:54+00:00,2019-03-18T09:08:21+00:00,13510000102120200001_Количество_однолетних_предприятий.csv
277288,13510000102120200002 Количество двухлетних предприятий,13510000102120200002,2017 - 2018,Управление статистики предприятий,Пичугина Е. В.,2019-03-27T01:08:10+00:00,2019-03-18T09:16:38+00:00,13510000102120200002_Количество_двухлетних_предприятий.csv
277290,13510000102120200003 Количество предприятий в возрасте пяти и менее лет,13510000102120200003,2017 - 2018,Управление статистики предприятий,Пичугина Е. В.,2019-03-27T01:08:10+00:00,2019-03-18T09:16:38+00:00,13510000102120200003_Количество_предприятий_в_возрасте_пяти_и_менее_лет.csv
277292,13510000102120200004 Количество четырёхлетних предприятий,13510000102120200004,2017 - 2018,Управление статистики предприятий,Пичугина Е. В.,2019-03-27T01:08:10+00:00,2019-03-18T09:16:38+00:00,13510000102120200004_Количество_четырёхлетних_предприятий.csv
277294,13510000102120200005 Количество пятилетних предприятий,13510000102120200005,2017 - 2018,Управление статистики предприятий,Пичугина Е. В.,2019-03-27T01:08:10+00:00,2019-03-18T09:17:28+00:00,13510000102120200005_Количество_пятилетних_предприятий.csv
279730,13510000102200200001 Количество быстрорастущих предприятий (рост по численности персонала),13510000102200200001,2017 - 2018,Управление статистики предприятий,Пичугина Е. В.,2020-11-24T04:37:46+00:00,2020-03-02T09:06:26+00:00,13510000102200200001_Количество_быстрорастущих_предприятий_(рост_по_численности_персонала).csv
279748,13510000102220200001 Количество предприятий с высоким потенциалом роста по численности персонала,13510000102220200001,2017 - 2018,Управление статистики предприятий,Пичугина Е. В.,2020-11-24T04:37:46+00:00,2020-03-02T09:06:26+00:00,13510000102220200001_Количество_предприятий_с_высоким_потенциалом_роста_по_численности_персонала.csv
279750,"13510000102240200001 Количество быстрорастущих предприятий (включая ""мышей"", рост по численности персонала)",13510000102240200001,2017 - 2018,Управление статистики предприятий,Пичугина Е. В.,2020-11-24T04:42:39+00:00,2020-03-02T09:06:26+00:00,"13510000102240200001_Количество_быстрорастущих_предприятий_(включая__мышей_,_рост_по_численности_пер.csv"
279752,"13510000102260200001 Количество предприятий, включая ""мышей"", с высоким потенциалом роста (по численности персонала)",13510000102260200001,2017 - 2018,Управление статистики предприятий,Пичугина Е. В.,2020-11-24T04:42:39+00:00,2020-03-02T09:06:26+00:00,"13510000102260200001_Количество_предприятий,_включая__мышей_,_с_высоким_потенциалом_роста_(по_числен.csv"
279756,13510000102260200002 Количество предприятий с высоким потенциалом роста (по обороту),13510000102260200002,2017 - 2018,Управление статистики предприятий,Пичугина Е. В.,2020-11-24T04:42:39+00:00,2020-03-02T09:06:26+00:00,13510000102260200002_Количество_предприятий_с_высоким_потенциалом_роста_(по_обороту).csv
279754,13510000102280200001 Количество быстрорастущих предприятий (с ростом по обороту),13510000102280200001,2017 - 2018,Управление статистики предприятий,Пичугина Е. В.,2020-11-24T04:42:39+00:00,2020-03-02T09:06:26+00:00,13510000102280200001_Количество_быстрорастущих_предприятий_(с_ростом_по_обороту).csv
279758,"13510000102320200001 Количество быстрорастущих предприятий, включая ""мышей"" (с ростом по обороту)",13510000102320200001,2017 - 2018,Управление статистики предприятий,Пичугина Е. В.,2020-11-24T04:42:39+00:00,2020-03-02T09:11:43+00:00,"13510000102320200001_Количество_быстрорастущих_предприятий,_включая__мышей__(с_ростом_по_обороту).csv"
279760,"13510000102340200001 Количество предприятий с высоким потенциалом роста, включая ""мышей"" (по обороту)",13510000102340200001,2017 - 2018,Управление статистики предприятий,Пичугина Е. В.,2020-11-24T04:42:39+00:00,2020-03-02T09:11:43+00:00,"13510000102340200001_Количество_предприятий_с_высоким_потенциалом_роста,_включая__мышей__(по_обороту.csv"
279762,"13510000102360200001 Количество предприятий-""газелей"" (с ростом по численности работников)",13510000102360200001,2017 - 2018,Управление статистики предприятий,Пичугина Е. В.,2020-11-24T04:42:39+00:00,2020-03-02T09:35:42+00:00,13510000102360200001_Количество_предприятий-_газелей__(с_ростом_по_численности_работников).csv
279764,"13510000102380200001 Количество предприятий-""газелей"" (с ростом по обороту)",13510000102380200001,2017 - 2018,,,2020-11-24T04:42:39+00:00,2020-03-02T09:11:43+00:00,13510000102380200001_Количество_предприятий-_газелей__(с_ростом_по_обороту).csv
279766,13510000102400200001 Количество угасающих предприятий,13510000102400200001,2017 - 2018,Управление статистики предприятий,Пичугина Е. В.,2020-11-24T04:42:39+00:00,2020-03-02T09:11:43+00:00,13510000102400200001_Количество_угасающих_предприятий.csv
