Год;Квартал;Федеральный округ;Регион;Размер недоимки, млн. руб.;
2017;1;Приволжский Федеральный округ;Саратовская область;0,0;
2017;1;Приволжский Федеральный округ;Удмуртская республика;0,0;
2017;1;Приволжский Федеральный округ;Ульяновская область;0,0;
2017;1;Приволжский Федеральный округ;Чувашская республика;0,0;
2017;1;Северо-Западный Федеральный округ;Архангельская область;0,0;
2017;1;Северо-Западный Федеральный округ;Вологодская область;0,0;
2017;1;Северо-Западный Федеральный округ;Калининградская область;0,0;
2017;1;Северо-Западный Федеральный округ;Ленинградская область;0,0;
2017;1;Северо-Западный Федеральный округ;Мурманская область;0,0;
2017;1;Северо-Западный Федеральный округ;Ненецкий автономный округ;0,0;
2017;1;Северо-Западный Федеральный округ;Новгородская область;0,0;
2017;1;Северо-Западный Федеральный округ;Псковская область;0,0;
2017;1;Северо-Западный Федеральный округ;Республика Карелия;0,0;
2017;1;Северо-Западный Федеральный округ;Республика Коми;0,0;
2017;1;Северо-Западный Федеральный округ;Санкт-Петербург;0,0;
2017;1;Северо-Кавказский Федеральный округ;Кабардино-Балкарская республика;0,0;
2017;1;Северо-Кавказский Федеральный округ;Республика Дагестан;0,0;
2017;1;Северо-Кавказский Федеральный округ;Республика Ингушетия;0,0;
2017;1;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;0,0;
2017;1;Северо-Кавказский Федеральный округ;Республика Северная Осетия - Алания;0,0;
2017;1;Северо-Кавказский Федеральный округ;Ставропольский край;0,0;
2017;1;Северо-Кавказский Федеральный округ;Чеченская республика;0,0;
2017;1;Сибирский Федеральный округ;Алтайский край;0,0;
2017;1;Сибирский Федеральный округ;Забайкальский край;0,0;
2017;1;Сибирский Федеральный округ;Иркутская область;0,0;
2017;1;Сибирский Федеральный округ;Кемеровская область;0,0;
2017;1;Сибирский Федеральный округ;Красноярский край;0,0;
2017;1;Сибирский Федеральный округ;Новосибирская область;0,0;
2017;1;Сибирский Федеральный округ;Омская область;0,0;
2017;1;Сибирский Федеральный округ;Республика Алтай;0,0;
2017;1;Сибирский Федеральный округ;Республика Бурятия;0,0;
2017;1;Сибирский Федеральный округ;Республика Тыва;0,0;
2017;1;Сибирский Федеральный округ;Республика Хакасия;0,0;
2017;1;Сибирский Федеральный округ;Томская область;0,0;
2017;1;Уральский Федеральный округ;Курганская область;0,0;
2017;1;Уральский Федеральный округ;Свердловская область;0,0;
2017;1;Уральский Федеральный округ;Тюменская область;0,0;
2017;1;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;0,0;
2017;1;Уральский Федеральный округ;Челябинская область;0,0;
2017;1;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;0,0;
2017;1;Центральный Федеральный округ;Белгородская область;0,0;
2017;1;Центральный Федеральный округ;Брянская область;0,0;
2017;1;Центральный Федеральный округ;Владимирская область;0,0;
2017;1;Центральный Федеральный округ;Воронежская область;0,0;
2017;1;Центральный Федеральный округ;Ивановская область;0,0;
2017;1;Центральный Федеральный округ;Калужская область;0,0;
2017;1;Центральный Федеральный округ;Костромская область;0,0;
2017;1;Центральный Федеральный округ;Курская область;0,0;
2017;1;Центральный Федеральный округ;Липецкая область;0,0;
2017;1;Центральный Федеральный округ;Москва;0,0;
2017;1;Центральный Федеральный округ;Московская область;0,0;
2017;1;Центральный Федеральный округ;Орловская область;0,0;
2017;1;Центральный Федеральный округ;Рязанская область;0,0;
2017;1;Центральный Федеральный округ;Смоленская область;0,0;
2017;1;Центральный Федеральный округ;Тамбовская область;0,0;
2017;1;Центральный Федеральный округ;Тверская область;0,0;
2017;1;Центральный Федеральный округ;Тульская область;0,0;
2017;1;Центральный Федеральный округ;Ярославская область;0,0;
2017;1;Центральный федеральный округ;ЦА ФСС РФ;0,0;
2017;1;Южный Федеральный округ;Астраханская область;0,0;
2017;1;Южный Федеральный округ;Волгоградская область;0,0;
2017;1;Южный Федеральный округ;Краснодарский край;0,0;
2017;1;Южный Федеральный округ;Республика Адыгея;0,0;
2017;1;Южный Федеральный округ;Республика Калмыкия;0,0;
2017;1;Южный Федеральный округ;Республика Крым;0,0;
2017;1;Южный Федеральный округ;Ростовская область;0,0;
2017;1;Южный Федеральный округ;Севастополь;0,0;
2017;2;Дальневосточный Федеральный округ;Амурская область;0,0;
2017;2;Дальневосточный Федеральный округ;Еврейская автономная область;0,0;
2017;2;Дальневосточный Федеральный округ;Камчатский край;0,0;
2017;2;Дальневосточный Федеральный округ;Магаданская область;0,0;
2017;2;Дальневосточный Федеральный округ;Приморский край;0,0;
2017;2;Дальневосточный Федеральный округ;Республика Саха (Якутия);0,0;
2017;2;Дальневосточный Федеральный округ;Сахалинская область;0,0;
2017;2;Дальневосточный Федеральный округ;Хабаровский край;0,0;
2017;2;Дальневосточный Федеральный округ;Чукотский автономный округ;0,0;
2017;2;Приволжский Федеральный округ;Кировская область;0,0;
2017;2;Приволжский Федеральный округ;Нижегородская область;0,0;
2017;2;Приволжский Федеральный округ;Оренбургская область;0,0;
2017;2;Приволжский Федеральный округ;Пензенская область;0,0;
2017;2;Приволжский Федеральный округ;Пермский край;0,0;
2017;2;Приволжский Федеральный округ;Республика Башкортостан;0,0;
2017;2;Приволжский Федеральный округ;Республика Марий Эл;0,0;
2017;2;Приволжский Федеральный округ;Республика Мордовия;0,0;
2017;2;Приволжский Федеральный округ;Республика Татарстан;0,0;
2017;2;Приволжский Федеральный округ;Самарская область;0,0;
2017;2;Приволжский Федеральный округ;Саратовская область;0,0;
2017;2;Приволжский Федеральный округ;Удмуртская республика;0,0;
2017;2;Приволжский Федеральный округ;Ульяновская область;0,0;
2017;2;Приволжский Федеральный округ;Чувашская республика;0,0;
2017;2;Северо-Западный Федеральный округ;Архангельская область;0,0;
2017;2;Северо-Западный Федеральный округ;Вологодская область;0,0;
2017;2;Северо-Западный Федеральный округ;Калининградская область;0,0;
2017;2;Северо-Западный Федеральный округ;Ленинградская область;0,0;
2017;2;Северо-Западный Федеральный округ;Мурманская область;0,0;
2017;2;Северо-Западный Федеральный округ;Ненецкий автономный округ;0,0;
2017;2;Северо-Западный Федеральный округ;Новгородская область;0,0;
2017;2;Северо-Западный Федеральный округ;Псковская область;0,0;
2017;2;Северо-Западный Федеральный округ;Республика Карелия;0,0;
2017;2;Северо-Западный Федеральный округ;Республика Коми;0,0;
2017;2;Северо-Западный Федеральный округ;Санкт-Петербург;0,0;
2017;2;Северо-Кавказский Федеральный округ;Кабардино-Балкарская республика;0,0;
2017;2;Северо-Кавказский Федеральный округ;Республика Дагестан;0,0;
2017;2;Северо-Кавказский Федеральный округ;Республика Ингушетия;0,0;
2017;2;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;0,0;
2017;2;Северо-Кавказский Федеральный округ;Республика Северная Осетия - Алания;0,0;
2017;2;Северо-Кавказский Федеральный округ;Ставропольский край;0,0;
2017;2;Северо-Кавказский Федеральный округ;Чеченская республика;0,0;
2017;2;Сибирский Федеральный округ;Алтайский край;0,0;
2017;2;Сибирский Федеральный округ;Забайкальский край;0,0;
2017;2;Сибирский Федеральный округ;Иркутская область;0,0;
2017;2;Сибирский Федеральный округ;Кемеровская область;0,0;
2017;2;Сибирский Федеральный округ;Красноярский край;0,0;
2017;2;Сибирский Федеральный округ;Новосибирская область;0,0;
2017;2;Сибирский Федеральный округ;Омская область;0,0;
2017;2;Сибирский Федеральный округ;Республика Алтай;0,0;
2017;2;Сибирский Федеральный округ;Республика Бурятия;0,0;
2017;2;Сибирский Федеральный округ;Республика Тыва;0,0;
2017;2;Сибирский Федеральный округ;Республика Хакасия;0,0;
2017;2;Сибирский Федеральный округ;Томская область;0,0;
2017;2;Уральский Федеральный округ;Курганская область;0,0;
2017;2;Уральский Федеральный округ;Свердловская область;0,0;
2017;2;Уральский Федеральный округ;Тюменская область;0,0;
2017;2;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;0,0;
2017;2;Уральский Федеральный округ;Челябинская область;0,0;
2017;2;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;0,0;
2017;2;Центральный Федеральный округ;Белгородская область;0,0;
2017;2;Центральный Федеральный округ;Брянская область;0,0;
2017;2;Центральный Федеральный округ;Владимирская область;0,0;
2017;2;Центральный Федеральный округ;Воронежская область;0,0;
2017;2;Центральный Федеральный округ;Ивановская область;0,0;
2017;2;Центральный Федеральный округ;Калужская область;0,0;
2017;2;Центральный Федеральный округ;Костромская область;0,0;
2017;2;Центральный Федеральный округ;Курская область;0,0;
2017;2;Центральный Федеральный округ;Липецкая область;0,0;
2017;2;Центральный Федеральный округ;Москва;0,0;
2017;2;Центральный Федеральный округ;Московская область;0,0;
2017;2;Центральный Федеральный округ;Орловская область;0,0;
2017;2;Центральный Федеральный округ;Рязанская область;0,0;
2017;2;Центральный Федеральный округ;Смоленская область;0,0;
2017;2;Центральный Федеральный округ;Тамбовская область;0,0;
2017;2;Центральный Федеральный округ;Тверская область;0,0;
2017;2;Центральный Федеральный округ;Тульская область;0,0;
2017;2;Центральный Федеральный округ;Ярославская область;0,0;
2017;2;Центральный федеральный округ;ЦА ФСС РФ;0,0;
2017;2;Южный Федеральный округ;Астраханская область;0,0;
2017;2;Южный Федеральный округ;Волгоградская область;0,0;
2017;2;Южный Федеральный округ;Краснодарский край;0,0;
2017;2;Южный Федеральный округ;Республика Адыгея;0,0;
2017;2;Южный Федеральный округ;Республика Калмыкия;0,0;
2017;2;Южный Федеральный округ;Республика Крым;0,0;
2017;2;Южный Федеральный округ;Ростовская область;0,0;
2017;2;Южный Федеральный округ;Севастополь;0,0;
2017;3;Дальневосточный Федеральный округ;Амурская область;0,0;
2017;3;Дальневосточный Федеральный округ;Еврейская автономная область;0,0;
2017;3;Дальневосточный Федеральный округ;Камчатский край;0,0;
2017;3;Дальневосточный Федеральный округ;Магаданская область;0,0;
2017;3;Дальневосточный Федеральный округ;Приморский край;0,0;
2017;3;Дальневосточный Федеральный округ;Республика Саха (Якутия);0,0;
2017;3;Дальневосточный Федеральный округ;Сахалинская область;0,0;
2017;3;Дальневосточный Федеральный округ;Хабаровский край;0,0;
2017;3;Дальневосточный Федеральный округ;Чукотский автономный округ;0,0;
2017;3;Приволжский Федеральный округ;Кировская область;0,0;
2017;3;Приволжский Федеральный округ;Нижегородская область;0,0;
2017;3;Приволжский Федеральный округ;Оренбургская область;0,0;
2017;3;Приволжский Федеральный округ;Пензенская область;0,0;
2017;3;Приволжский Федеральный округ;Пермский край;0,0;
2017;3;Приволжский Федеральный округ;Республика Башкортостан;0,0;
2017;3;Приволжский Федеральный округ;Республика Марий Эл;0,0;
2017;3;Приволжский Федеральный округ;Республика Мордовия;0,0;
2017;3;Приволжский Федеральный округ;Республика Татарстан;0,0;
2017;3;Приволжский Федеральный округ;Самарская область;0,0;
2017;3;Приволжский Федеральный округ;Саратовская область;0,0;
2017;3;Приволжский Федеральный округ;Удмуртская республика;0,0;
2017;3;Приволжский Федеральный округ;Ульяновская область;0,0;
2017;3;Приволжский Федеральный округ;Чувашская республика;0,0;
2017;3;Северо-Западный Федеральный округ;Архангельская область;0,0;
2017;3;Северо-Западный Федеральный округ;Вологодская область;0,0;
2017;3;Северо-Западный Федеральный округ;Калининградская область;0,0;
2017;3;Северо-Западный Федеральный округ;Ленинградская область;0,0;
2017;3;Северо-Западный Федеральный округ;Мурманская область;0,0;
2017;3;Северо-Западный Федеральный округ;Ненецкий автономный округ;0,0;
2017;3;Северо-Западный Федеральный округ;Новгородская область;0,0;
2017;3;Северо-Западный Федеральный округ;Псковская область;0,0;
2017;3;Северо-Западный Федеральный округ;Республика Карелия;0,0;
2017;3;Северо-Западный Федеральный округ;Республика Коми;0,0;
2017;3;Северо-Западный Федеральный округ;Санкт-Петербург;0,0;
2017;3;Северо-Кавказский Федеральный округ;Кабардино-Балкарская республика;0,0;
2017;3;Северо-Кавказский Федеральный округ;Республика Дагестан;0,0;
2017;3;Северо-Кавказский Федеральный округ;Республика Ингушетия;0,0;
2017;3;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;0,0;
2017;3;Северо-Кавказский Федеральный округ;Республика Северная Осетия - Алания;0,0;
2017;3;Северо-Кавказский Федеральный округ;Ставропольский край;0,0;
2017;3;Северо-Кавказский Федеральный округ;Чеченская республика;0,0;
2017;3;Сибирский Федеральный округ;Алтайский край;0,0;
2017;3;Сибирский Федеральный округ;Забайкальский край;0,0;
2017;3;Сибирский Федеральный округ;Иркутская область;0,0;
2017;3;Сибирский Федеральный округ;Кемеровская область;0,0;
2017;3;Сибирский Федеральный округ;Красноярский край;0,0;
2017;3;Сибирский Федеральный округ;Новосибирская область;0,0;
2017;3;Сибирский Федеральный округ;Омская область;0,0;
2017;3;Сибирский Федеральный округ;Республика Алтай;0,0;
2017;3;Сибирский Федеральный округ;Республика Бурятия;0,0;
2017;3;Сибирский Федеральный округ;Республика Тыва;0,0;
2017;3;Сибирский Федеральный округ;Республика Хакасия;0,0;
2017;3;Сибирский Федеральный округ;Томская область;0,0;
2017;3;Уральский Федеральный округ;Курганская область;0,0;
2017;3;Уральский Федеральный округ;Свердловская область;0,0;
2017;3;Уральский Федеральный округ;Тюменская область;0,0;
2017;3;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;0,0;
2017;3;Уральский Федеральный округ;Челябинская область;0,0;
2017;3;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;0,0;
2017;3;Центральный Федеральный округ;Белгородская область;0,0;
2017;3;Центральный Федеральный округ;Брянская область;0,0;
2017;3;Центральный Федеральный округ;Владимирская область;0,0;
2017;3;Центральный Федеральный округ;Воронежская область;0,0;
2017;3;Центральный Федеральный округ;Ивановская область;0,0;
2017;3;Центральный Федеральный округ;Калужская область;0,0;
2017;3;Центральный Федеральный округ;Костромская область;0,0;
2017;3;Центральный Федеральный округ;Курская область;0,0;
2017;3;Центральный Федеральный округ;Липецкая область;0,0;
2017;3;Центральный Федеральный округ;Москва;0,0;
2017;3;Центральный Федеральный округ;Московская область;0,0;
2017;3;Центральный Федеральный округ;Орловская область;0,0;
2017;3;Центральный Федеральный округ;Рязанская область;0,0;
2017;3;Центральный Федеральный округ;Смоленская область;0,0;
2017;3;Центральный Федеральный округ;Тамбовская область;0,0;
2017;3;Центральный Федеральный округ;Тверская область;0,0;
2017;3;Центральный Федеральный округ;Тульская область;0,0;
2017;3;Центральный Федеральный округ;Ярославская область;0,0;
2017;3;Центральный федеральный округ;ЦА ФСС РФ;0,0;
2017;3;Южный Федеральный округ;Астраханская область;0,0;
2017;3;Южный Федеральный округ;Волгоградская область;0,0;
2017;3;Южный Федеральный округ;Краснодарский край;0,0;
2017;3;Южный Федеральный округ;Республика Адыгея;0,0;
2017;3;Южный Федеральный округ;Республика Калмыкия;0,0;
2017;3;Южный Федеральный округ;Республика Крым;0,0;
2017;3;Южный Федеральный округ;Ростовская область;0,0;
2017;3;Южный Федеральный округ;Севастополь;0,0;
2017;4;Дальневосточный Федеральный округ;Амурская область;0,0;
2017;4;Дальневосточный Федеральный округ;Еврейская автономная область;0,0;
2017;4;Дальневосточный Федеральный округ;Камчатский край;0,0;
2017;4;Дальневосточный Федеральный округ;Магаданская область;0,0;
2017;4;Дальневосточный Федеральный округ;Приморский край;0,0;
2017;4;Дальневосточный Федеральный округ;Республика Саха (Якутия);0,0;
2017;4;Дальневосточный Федеральный округ;Сахалинская область;0,0;
2017;4;Дальневосточный Федеральный округ;Хабаровский край;0,0;
2017;4;Дальневосточный Федеральный округ;Чукотский автономный округ;0,0;
2017;4;Приволжский Федеральный округ;Кировская область;0,0;
2017;4;Приволжский Федеральный округ;Нижегородская область;0,0;
2017;4;Приволжский Федеральный округ;Оренбургская область;0,0;
2017;4;Приволжский Федеральный округ;Пензенская область;0,0;
2017;4;Приволжский Федеральный округ;Пермский край;0,0;
2017;4;Приволжский Федеральный округ;Республика Башкортостан;0,0;
2017;4;Приволжский Федеральный округ;Республика Марий Эл;0,0;
2017;4;Приволжский Федеральный округ;Республика Мордовия;0,0;
2017;4;Приволжский Федеральный округ;Республика Татарстан;0,0;
2017;4;Приволжский Федеральный округ;Самарская область;0,0;
2017;4;Приволжский Федеральный округ;Саратовская область;0,0;
2017;4;Приволжский Федеральный округ;Удмуртская республика;0,0;
2017;4;Приволжский Федеральный округ;Ульяновская область;0,0;
2017;4;Приволжский Федеральный округ;Чувашская республика;0,0;
2017;4;Северо-Западный Федеральный округ;Архангельская область;0,0;
2017;4;Северо-Западный Федеральный округ;Вологодская область;0,0;
2017;4;Северо-Западный Федеральный округ;Калининградская область;0,0;
2017;4;Северо-Западный Федеральный округ;Ленинградская область;0,0;
2017;4;Северо-Западный Федеральный округ;Мурманская область;0,0;
2017;4;Северо-Западный Федеральный округ;Ненецкий автономный округ;0,0;
2017;4;Северо-Западный Федеральный округ;Новгородская область;0,0;
2017;4;Северо-Западный Федеральный округ;Псковская область;0,0;
2017;4;Северо-Западный Федеральный округ;Республика Карелия;0,0;
2017;4;Северо-Западный Федеральный округ;Республика Коми;0,0;
2017;4;Северо-Западный Федеральный округ;Санкт-Петербург;0,0;
2017;4;Северо-Кавказский Федеральный округ;Кабардино-Балкарская республика;0,0;
2017;4;Северо-Кавказский Федеральный округ;Республика Дагестан;0,0;
2017;4;Северо-Кавказский Федеральный округ;Республика Ингушетия;0,0;
2017;4;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;0,0;
2017;4;Северо-Кавказский Федеральный округ;Республика Северная Осетия - Алания;0,0;
2017;4;Северо-Кавказский Федеральный округ;Ставропольский край;0,0;
2017;4;Северо-Кавказский Федеральный округ;Чеченская республика;0,0;
2017;4;Сибирский Федеральный округ;Алтайский край;0,0;
2017;4;Сибирский Федеральный округ;Забайкальский край;0,0;
2017;4;Сибирский Федеральный округ;Иркутская область;0,0;
2017;4;Сибирский Федеральный округ;Кемеровская область;0,0;
2017;4;Сибирский Федеральный округ;Красноярский край;0,0;
2017;4;Сибирский Федеральный округ;Новосибирская область;0,0;
2017;4;Сибирский Федеральный округ;Омская область;0,0;
2017;4;Сибирский Федеральный округ;Республика Алтай;0,0;
2017;4;Сибирский Федеральный округ;Республика Бурятия;0,0;
2017;4;Сибирский Федеральный округ;Республика Тыва;0,0;
2017;4;Сибирский Федеральный округ;Республика Хакасия;0,0;
2017;4;Сибирский Федеральный округ;Томская область;0,0;
2017;4;Уральский Федеральный округ;Курганская область;0,0;
2017;4;Уральский Федеральный округ;Свердловская область;0,0;
2017;4;Уральский Федеральный округ;Тюменская область;0,0;
2017;4;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;0,0;
2017;4;Уральский Федеральный округ;Челябинская область;0,0;
2017;4;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;0,0;
2017;4;Центральный Федеральный округ;Белгородская область;0,0;
2017;4;Центральный Федеральный округ;Брянская область;0,0;
2017;4;Центральный Федеральный округ;Владимирская область;0,0;
2017;4;Центральный Федеральный округ;Воронежская область;0,0;
2017;4;Центральный Федеральный округ;Ивановская область;0,0;
2017;4;Центральный Федеральный округ;Калужская область;0,0;
2017;4;Центральный Федеральный округ;Костромская область;0,0;
2017;4;Центральный Федеральный округ;Курская область;0,0;
2017;4;Центральный Федеральный округ;Липецкая область;0,0;
2017;4;Центральный Федеральный округ;Москва;0,0;
2017;4;Центральный Федеральный округ;Московская область;0,0;
2017;4;Центральный Федеральный округ;Орловская область;0,0;
2017;4;Центральный Федеральный округ;Рязанская область;0,0;
2017;4;Центральный Федеральный округ;Смоленская область;0,0;
2017;4;Центральный Федеральный округ;Тамбовская область;0,0;
2017;4;Центральный Федеральный округ;Тверская область;0,0;
2017;4;Центральный Федеральный округ;Тульская область;0,0;
2017;4;Центральный Федеральный округ;Ярославская область;0,0;
2017;4;Центральный федеральный округ;ЦА ФСС РФ;0,0;
2017;4;Южный Федеральный округ;Астраханская область;0,0;
2017;4;Южный Федеральный округ;Волгоградская область;0,0;
2017;4;Южный Федеральный округ;Краснодарский край;0,0;
2017;4;Южный Федеральный округ;Республика Адыгея;0,0;
2017;4;Южный Федеральный округ;Республика Калмыкия;0,0;
2017;4;Южный Федеральный округ;Республика Крым;0,0;
2017;4;Южный Федеральный округ;Ростовская область;0,0;
2017;4;Южный Федеральный округ;Севастополь;0,0;
2018;1;Дальневосточный Федеральный округ;Амурская область;0,0;
2018;1;Дальневосточный Федеральный округ;Еврейская автономная область;0,0;
2018;1;Дальневосточный Федеральный округ;Камчатский край;0,0;
2018;1;Дальневосточный Федеральный округ;Магаданская область;0,0;
2018;1;Дальневосточный Федеральный округ;Приморский край;0,0;
2018;1;Дальневосточный Федеральный округ;Республика Саха (Якутия);0,0;
2018;1;Дальневосточный Федеральный округ;Сахалинская область;0,0;
2018;1;Дальневосточный Федеральный округ;Хабаровский край;0,0;
2018;1;Дальневосточный Федеральный округ;Чукотский автономный округ;0,0;
2018;1;Приволжский Федеральный округ;Кировская область;0,0;
2018;1;Приволжский Федеральный округ;Нижегородская область;0,0;
2018;1;Приволжский Федеральный округ;Оренбургская область;0,0;
2018;1;Приволжский Федеральный округ;Пензенская область;0,0;
2018;1;Приволжский Федеральный округ;Пермский край;0,0;
