Год;Квартал;Федеральный округ;Регион;Количество страхователей, тыс. ед.;
2017;3;Северо-Западный Федеральный округ;Новгородская область;17233,0;
2017;3;Северо-Западный Федеральный округ;Псковская область;17374,0;
2017;3;Северо-Западный Федеральный округ;Республика Карелия;25460,0;
2017;3;Северо-Западный Федеральный округ;Республика Коми;24341,0;
2017;3;Северо-Западный Федеральный округ;Санкт-Петербург;362460,0;
2017;3;Северо-Кавказский Федеральный округ;Кабардино-Балкарская республика;13389,0;
2017;3;Северо-Кавказский Федеральный округ;Республика Дагестан;34100,0;
2017;3;Северо-Кавказский Федеральный округ;Республика Ингушетия;5504,0;
2017;3;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;7364,0;
2017;3;Северо-Кавказский Федеральный округ;Республика Северная Осетия - Алания;10392,0;
2017;3;Северо-Кавказский Федеральный округ;Ставропольский край;59694,0;
2017;3;Северо-Кавказский Федеральный округ;Чеченская республика;10527,0;
2017;3;Сибирский Федеральный округ;Алтайский край;64022,0;
2017;3;Сибирский Федеральный округ;Забайкальский край;19862,0;
2017;3;Сибирский Федеральный округ;Иркутская область;69347,0;
2017;3;Сибирский Федеральный округ;Кемеровская область;55627,0;
2017;3;Сибирский Федеральный округ;Красноярский край;90662,0;
2017;3;Сибирский Федеральный округ;Новосибирская область;130722,0;
2017;3;Сибирский Федеральный округ;Омская область;52493,0;
2017;3;Сибирский Федеральный округ;Республика Алтай;7082,0;
2017;3;Сибирский Федеральный округ;Республика Бурятия;23368,0;
2017;3;Сибирский Федеральный округ;Республика Тыва;4555,0;
2017;3;Сибирский Федеральный округ;Республика Хакасия;13276,0;
2017;3;Сибирский Федеральный округ;Томская область;36214,0;
2017;3;Уральский Федеральный округ;Курганская область;18614,0;
2017;3;Уральский Федеральный округ;Свердловская область;180161,0;
2017;3;Уральский Федеральный округ;Тюменская область;51649,0;
2017;3;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;40794,0;
2017;3;Уральский Федеральный округ;Челябинская область;110400,0;
2017;3;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;13933,0;
2017;3;Центральный Федеральный округ;Белгородская область;45962,0;
2017;3;Центральный Федеральный округ;Брянская область;23062,0;
2017;3;Центральный Федеральный округ;Владимирская область;38841,0;
2017;3;Центральный Федеральный округ;Воронежская область;66533,0;
2017;3;Центральный Федеральный округ;Ивановская область;38605,0;
2017;3;Центральный Федеральный округ;Калужская область;30506,0;
2017;3;Центральный Федеральный округ;Костромская область;21093,0;
2017;3;Центральный Федеральный округ;Курская область;26577,0;
2017;3;Центральный Федеральный округ;Липецкая область;26698,0;
2017;3;Центральный Федеральный округ;Москва;1018799,0;
2017;3;Центральный Федеральный округ;Московская область;270033,0;
2017;3;Центральный Федеральный округ;Орловская область;18421,0;
2017;3;Центральный Федеральный округ;Рязанская область;35835,0;
2017;3;Центральный Федеральный округ;Смоленская область;31658,0;
2017;3;Центральный Федеральный округ;Тамбовская область;22243,0;
2017;3;Центральный Федеральный округ;Тверская область;40377,0;
2017;3;Центральный Федеральный округ;Тульская область;41998,0;
2017;3;Центральный Федеральный округ;Ярославская область;50608,0;
2017;3;Центральный федеральный округ;ЦА ФСС РФ;0,0;
2017;3;Южный Федеральный округ;Астраханская область;23365,0;
2017;3;Южный Федеральный округ;Волгоградская область;57748,0;
2017;3;Южный Федеральный округ;Краснодарский край;182752,0;
2017;3;Южный Федеральный округ;Республика Адыгея;9882,0;
2017;3;Южный Федеральный округ;Республика Калмыкия;5723,0;
2017;3;Южный Федеральный округ;Республика Крым;50616,0;
2017;3;Южный Федеральный округ;Ростовская область;109620,0;
2017;3;Южный Федеральный округ;Севастополь;15057,0;
2017;4;Дальневосточный Федеральный округ;Амурская область;19510,0;
2017;4;Дальневосточный Федеральный округ;Еврейская автономная область;4020,0;
2017;4;Дальневосточный Федеральный округ;Камчатский край;12200,0;
2017;4;Дальневосточный Федеральный округ;Магаданская область;5165,0;
2017;4;Дальневосточный Федеральный округ;Приморский край;75617,0;
2017;4;Дальневосточный Федеральный округ;Республика Саха (Якутия);27115,0;
2017;4;Дальневосточный Федеральный округ;Сахалинская область;18788,0;
2017;4;Дальневосточный Федеральный округ;Хабаровский край;46537,0;
2017;4;Дальневосточный Федеральный округ;Чукотский автономный округ;1173,0;
2017;4;Приволжский Федеральный округ;Кировская область;40812,0;
2017;4;Приволжский Федеральный округ;Нижегородская область;109509,0;
2017;4;Приволжский Федеральный округ;Оренбургская область;44972,0;
2017;4;Приволжский Федеральный округ;Пензенская область;34776,0;
2017;4;Приволжский Федеральный округ;Пермский край;89740,0;
2017;4;Приволжский Федеральный округ;Республика Башкортостан;97421,0;
2017;4;Приволжский Федеральный округ;Республика Марий Эл;16933,0;
2017;4;Приволжский Федеральный округ;Республика Мордовия;18070,0;
2017;4;Приволжский Федеральный округ;Республика Татарстан;131365,0;
2017;4;Приволжский Федеральный округ;Самарская область;116745,0;
2017;4;Приволжский Федеральный округ;Саратовская область;57445,0;
2017;4;Приволжский Федеральный округ;Удмуртская республика;44759,0;
2017;4;Приволжский Федеральный округ;Ульяновская область;33790,0;
2017;4;Приволжский Федеральный округ;Чувашская республика;29077,0;
2017;4;Северо-Западный Федеральный округ;Архангельская область;27621,0;
2017;4;Северо-Западный Федеральный округ;Вологодская область;45901,0;
2017;4;Северо-Западный Федеральный округ;Калининградская область;58328,0;
2017;4;Северо-Западный Федеральный округ;Ленинградская область;39988,0;
2017;4;Северо-Западный Федеральный округ;Мурманская область;20406,0;
2017;4;Северо-Западный Федеральный округ;Ненецкий автономный округ;1173,0;
2017;4;Северо-Западный Федеральный округ;Новгородская область;17048,0;
2017;4;Северо-Западный Федеральный округ;Псковская область;17483,0;
2017;4;Северо-Западный Федеральный округ;Республика Карелия;24529,0;
2017;4;Северо-Западный Федеральный округ;Республика Коми;24061,0;
2017;4;Северо-Западный Федеральный округ;Санкт-Петербург;353224,0;
2017;4;Северо-Кавказский Федеральный округ;Кабардино-Балкарская республика;13477,0;
2017;4;Северо-Кавказский Федеральный округ;Республика Дагестан;33302,0;
2017;4;Северо-Кавказский Федеральный округ;Республика Ингушетия;5555,0;
2017;4;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;7566,0;
2017;4;Северо-Кавказский Федеральный округ;Республика Северная Осетия - Алания;10163,0;
2017;4;Северо-Кавказский Федеральный округ;Ставропольский край;58998,0;
2017;4;Северо-Кавказский Федеральный округ;Чеченская республика;10578,0;
2017;4;Сибирский Федеральный округ;Алтайский край;63564,0;
2017;4;Сибирский Федеральный округ;Забайкальский край;19881,0;
2017;4;Сибирский Федеральный округ;Иркутская область;68396,0;
2017;4;Сибирский Федеральный округ;Кемеровская область;55311,0;
2017;4;Сибирский Федеральный округ;Красноярский край;89050,0;
2017;4;Сибирский Федеральный округ;Новосибирская область;129039,0;
2017;4;Сибирский Федеральный округ;Омская область;52224,0;
2017;4;Сибирский Федеральный округ;Республика Алтай;7049,0;
2017;4;Сибирский Федеральный округ;Республика Бурятия;23384,0;
2017;4;Сибирский Федеральный округ;Республика Тыва;4589,0;
2017;4;Сибирский Федеральный округ;Республика Хакасия;12893,0;
2017;4;Сибирский Федеральный округ;Томская область;36424,0;
2017;4;Уральский Федеральный округ;Курганская область;18336,0;
2017;4;Уральский Федеральный округ;Свердловская область;171885,0;
2017;4;Уральский Федеральный округ;Тюменская область;51204,0;
2017;4;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;40727,0;
2017;4;Уральский Федеральный округ;Челябинская область;109977,0;
2017;4;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;13748,0;
2017;4;Центральный Федеральный округ;Белгородская область;46698,0;
2017;4;Центральный Федеральный округ;Брянская область;23004,0;
2017;4;Центральный Федеральный округ;Владимирская область;38420,0;
2017;4;Центральный Федеральный округ;Воронежская область;66312,0;
2017;4;Центральный Федеральный округ;Ивановская область;37957,0;
2017;4;Центральный Федеральный округ;Калужская область;30561,0;
2017;4;Центральный Федеральный округ;Костромская область;20992,0;
2017;4;Центральный Федеральный округ;Курская область;26463,0;
2017;4;Центральный Федеральный округ;Липецкая область;26591,0;
2017;4;Центральный Федеральный округ;Москва;982377,0;
2017;4;Центральный Федеральный округ;Московская область;268035,0;
2017;4;Центральный Федеральный округ;Орловская область;18420,0;
2017;4;Центральный Федеральный округ;Рязанская область;35135,0;
2017;4;Центральный Федеральный округ;Смоленская область;31744,0;
2017;4;Центральный Федеральный округ;Тамбовская область;22314,0;
2017;4;Центральный Федеральный округ;Тверская область;40154,0;
2017;4;Центральный Федеральный округ;Тульская область;41189,0;
2017;4;Центральный Федеральный округ;Ярославская область;50638,0;
2017;4;Центральный федеральный округ;ЦА ФСС РФ;0,0;
2017;4;Южный Федеральный округ;Астраханская область;23055,0;
2017;4;Южный Федеральный округ;Волгоградская область;57003,0;
2017;4;Южный Федеральный округ;Краснодарский край;178987,0;
2017;4;Южный Федеральный округ;Республика Адыгея;10092,0;
2017;4;Южный Федеральный округ;Республика Калмыкия;5504,0;
2017;4;Южный Федеральный округ;Республика Крым;51215,0;
2017;4;Южный Федеральный округ;Ростовская область;108979,0;
2017;4;Южный Федеральный округ;Севастополь;15262,0;
