Год;Месяц;Федеральный округ;Регион;Тип транспорта;Количество талонов на проезд по путевкам на СКЛ от ФСС РФ, шт.;Количество талонов на проезд по путевкам на СКЛ от ОГИВ в сфере здравоохранения, шт.;Количество талонов на проезд по направлению на лечение от ОГИВ в сфере здравоохранения, шт.;
2018;5;Сибирский Федеральный округ;Республика Тыва;железнодорожный;16,0;288,0;77,0;
2018;5;Сибирский Федеральный округ;Республика Хакасия;авиационный;2,0;65,0;14,0;
2018;5;Сибирский Федеральный округ;Республика Хакасия;железнодорожный;-;35,0;-;
2018;5;Южный Федеральный округ;Республика Калмыкия;железнодорожный;2,0;32,0;29,0;
2018;6;Дальневосточный Федеральный округ;Амурская область;авиационный;-;83,0;-;
2018;6;Дальневосточный Федеральный округ;Амурская область;автомобильный;226,0;7,0;-;
2018;6;Дальневосточный Федеральный округ;Амурская область;железнодорожный;-;27,0;-;
2018;6;Дальневосточный Федеральный округ;Приморский край;авиационный;53,0;37,0;4,0;
2018;6;Дальневосточный Федеральный округ;Приморский край;автомобильный;11,0;-;-;
2018;6;Дальневосточный Федеральный округ;Приморский край;железнодорожный;723,0;123,0;91,0;
2018;6;Дальневосточный Федеральный округ;Хабаровский край;авиационный;36,0;23,0;-;
2018;6;Дальневосточный Федеральный округ;Хабаровский край;автомобильный;10,0;4,0;-;
2018;6;Дальневосточный Федеральный округ;Хабаровский край;железнодорожный;235,0;127,0;2,0;
2018;6;Приволжский Федеральный округ;Республика Марий Эл;железнодорожный;88,0;231,0;91,0;
2018;6;Приволжский Федеральный округ;Республика Мордовия;автомобильный;90,0;-;-;
2018;6;Приволжский Федеральный округ;Республика Мордовия;железнодорожный;108,0;617,0;30,0;
2018;6;Приволжский Федеральный округ;Удмуртская республика;авиационный;19,0;-;-;
2018;6;Приволжский Федеральный округ;Удмуртская республика;автомобильный;174,0;19,0;3,0;
2018;6;Приволжский Федеральный округ;Удмуртская республика;железнодорожный;1675,0;1079,0;128,0;
2018;6;Приволжский Федеральный округ;Чувашская республика;железнодорожный;118,0;56,0;33,0;
2018;6;Северо-Западный Федеральный округ;Архангельская область;авиационный;-;1,0;-;
2018;6;Северо-Западный Федеральный округ;Архангельская область;железнодорожный;-;9,0;-;
2018;6;Северо-Западный Федеральный округ;Республика Коми;авиационный;123,0;138,0;2,0;
2018;6;Северо-Западный Федеральный округ;Республика Коми;автомобильный;71,0;24,0;-;
2018;6;Северо-Западный Федеральный округ;Республика Коми;железнодорожный;311,0;504,0;164,0;
2018;6;Северо-Кавказский Федеральный округ;Республика Дагестан;железнодорожный;165,0;157,0;16,0;
2018;6;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;автомобильный;1,0;-;-;
2018;6;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;железнодорожный;69,0;136,0;37,0;
2018;6;Северо-Кавказский Федеральный округ;Республика Северная Осетия - Алания;железнодорожный;-;64,0;18,0;
2018;6;Северо-Кавказский Федеральный округ;Чеченская республика;железнодорожный;55,0;273,0;36,0;
2018;6;Сибирский Федеральный округ;Алтайский край;авиационный;10,0;16,0;2,0;
2018;6;Сибирский Федеральный округ;Алтайский край;автомобильный;457,0;-;2,0;
2018;6;Сибирский Федеральный округ;Алтайский край;железнодорожный;246,0;922,0;136,0;
2018;6;Сибирский Федеральный округ;Республика Алтай;автомобильный;248,0;-;-;
2018;6;Сибирский Федеральный округ;Республика Алтай;железнодорожный;12,0;194,0;50,0;
2018;6;Сибирский Федеральный округ;Республика Тыва;железнодорожный;58,0;271,0;64,0;
2018;6;Сибирский Федеральный округ;Республика Хакасия;авиационный;14,0;197,0;12,0;
2018;6;Сибирский Федеральный округ;Республика Хакасия;автомобильный;1,0;2,0;-;
2018;6;Сибирский Федеральный округ;Республика Хакасия;железнодорожный;4,0;30,0;2,0;
2018;6;Южный Федеральный округ;Республика Калмыкия;автомобильный;4,0;-;-;
2018;6;Южный Федеральный округ;Республика Калмыкия;железнодорожный;128,0;7,0;31,0;
2018;7;Дальневосточный Федеральный округ;Амурская область;авиационный;-;61,0;-;
2018;7;Дальневосточный Федеральный округ;Амурская область;автомобильный;91,0;2,0;-;
2018;7;Дальневосточный Федеральный округ;Амурская область;железнодорожный;-;11,0;-;
2018;7;Дальневосточный Федеральный округ;Приморский край;авиационный;50,0;36,0;-;
2018;7;Дальневосточный Федеральный округ;Приморский край;автомобильный;14,0;-;-;
2018;7;Дальневосточный Федеральный округ;Приморский край;железнодорожный;971,0;160,0;65,0;
2018;7;Дальневосточный Федеральный округ;Хабаровский край;авиационный;49,0;39,0;-;
2018;7;Дальневосточный Федеральный округ;Хабаровский край;автомобильный;8,0;2,0;-;
2018;7;Дальневосточный Федеральный округ;Хабаровский край;железнодорожный;472,0;133,0;15,0;
2018;7;Приволжский Федеральный округ;Республика Марий Эл;авиационный;10,0;-;-;
2018;7;Приволжский Федеральный округ;Республика Марий Эл;автомобильный;-;-;1,0;
2018;7;Приволжский Федеральный округ;Республика Марий Эл;железнодорожный;48,0;275,0;86,0;
2018;7;Приволжский Федеральный округ;Республика Мордовия;автомобильный;26,0;-;-;
2018;7;Приволжский Федеральный округ;Республика Мордовия;железнодорожный;171,0;690,0;18,0;
2018;7;Приволжский Федеральный округ;Удмуртская республика;авиационный;-;4,0;-;
2018;7;Приволжский Федеральный округ;Удмуртская республика;автомобильный;165,0;49,0;-;
2018;7;Приволжский Федеральный округ;Удмуртская республика;железнодорожный;2505,0;1668,0;131,0;
2018;7;Приволжский Федеральный округ;Чувашская республика;автомобильный;41,0;-;-;
2018;7;Приволжский Федеральный округ;Чувашская республика;железнодорожный;190,0;55,0;25,0;
2018;7;Северо-Западный Федеральный округ;Архангельская область;железнодорожный;-;25,0;-;
2018;7;Северо-Западный Федеральный округ;Республика Коми;авиационный;48,0;75,0;2,0;
2018;7;Северо-Западный Федеральный округ;Республика Коми;автомобильный;137,0;26,0;-;
2018;7;Северо-Западный Федеральный округ;Республика Коми;железнодорожный;367,0;558,0;119,0;
2018;7;Северо-Кавказский Федеральный округ;Республика Дагестан;железнодорожный;207,0;152,0;16,0;
2018;7;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;автомобильный;14,0;-;-;
2018;7;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;железнодорожный;179,0;186,0;45,0;
2018;7;Северо-Кавказский Федеральный округ;Республика Северная Осетия - Алания;железнодорожный;16,0;97,0;24,0;
2018;7;Северо-Кавказский Федеральный округ;Чеченская республика;железнодорожный;708,0;338,0;20,0;
2018;7;Сибирский Федеральный округ;Алтайский край;авиационный;2,0;22,0;-;
2018;7;Сибирский Федеральный округ;Алтайский край;автомобильный;371,0;1,0;-;
2018;7;Сибирский Федеральный округ;Алтайский край;железнодорожный;616,0;1161,0;84,0;
2018;7;Сибирский Федеральный округ;Республика Алтай;автомобильный;109,0;-;-;
2018;7;Сибирский Федеральный округ;Республика Алтай;железнодорожный;44,0;261,0;67,0;
2018;7;Сибирский Федеральный округ;Республика Тыва;железнодорожный;99,0;298,0;33,0;
2018;7;Сибирский Федеральный округ;Республика Хакасия;авиационный;42,0;106,0;14,0;
2018;7;Сибирский Федеральный округ;Республика Хакасия;железнодорожный;10,0;30,0;10,0;
2018;7;Южный Федеральный округ;Республика Калмыкия;автомобильный;1,0;-;-;
2018;7;Южный Федеральный округ;Республика Калмыкия;железнодорожный;243,0;11,0;19,0;
2018;8;Дальневосточный Федеральный округ;Амурская область;авиационный;-;50,0;-;
2018;8;Дальневосточный Федеральный округ;Амурская область;автомобильный;152,0;1,0;-;
2018;8;Дальневосточный Федеральный округ;Амурская область;железнодорожный;-;23,0;-;
2018;8;Дальневосточный Федеральный округ;Приморский край;авиационный;44,0;15,0;-;
2018;8;Дальневосточный Федеральный округ;Приморский край;автомобильный;1,0;-;-;
2018;8;Дальневосточный Федеральный округ;Приморский край;железнодорожный;1053,0;140,0;38,0;
2018;8;Дальневосточный Федеральный округ;Хабаровский край;авиационный;87,0;64,0;-;
2018;8;Дальневосточный Федеральный округ;Хабаровский край;автомобильный;13,0;2,0;-;
2018;8;Дальневосточный Федеральный округ;Хабаровский край;водный;6,0;2,0;-;
2018;8;Дальневосточный Федеральный округ;Хабаровский край;железнодорожный;595,0;95,0;6,0;
2018;8;Приволжский Федеральный округ;Республика Марий Эл;автомобильный;-;-;1,0;
2018;8;Приволжский Федеральный округ;Республика Марий Эл;железнодорожный;50,0;280,0;63,0;
2018;8;Приволжский Федеральный округ;Республика Мордовия;автомобильный;55,0;-;-;
2018;8;Приволжский Федеральный округ;Республика Мордовия;железнодорожный;432,0;560,0;30,0;
2018;8;Приволжский Федеральный округ;Удмуртская республика;авиационный;-;2,0;-;
2018;8;Приволжский Федеральный округ;Удмуртская республика;автомобильный;88,0;10,0;2,0;
2018;8;Приволжский Федеральный округ;Удмуртская республика;железнодорожный;1664,0;1113,0;154,0;
2018;8;Приволжский Федеральный округ;Чувашская республика;автомобильный;15,0;-;-;
2018;8;Приволжский Федеральный округ;Чувашская республика;железнодорожный;312,0;65,0;17,0;
2018;8;Северо-Западный Федеральный округ;Архангельская область;авиационный;-;7,0;-;
2018;8;Северо-Западный Федеральный округ;Архангельская область;автомобильный;-;2,0;6,0;
2018;8;Северо-Западный Федеральный округ;Архангельская область;железнодорожный;-;37,0;-;
2018;8;Северо-Западный Федеральный округ;Республика Коми;авиационный;54,0;69,0;4,0;
2018;8;Северо-Западный Федеральный округ;Республика Коми;автомобильный;106,0;16,0;1,0;
2018;8;Северо-Западный Федеральный округ;Республика Коми;железнодорожный;276,0;409,0;137,0;
2018;8;Северо-Кавказский Федеральный округ;Республика Дагестан;железнодорожный;262,0;190,0;20,0;
2018;8;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;автомобильный;46,0;-;-;
2018;8;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;железнодорожный;126,0;132,0;38,0;
2018;8;Северо-Кавказский Федеральный округ;Республика Северная Осетия - Алания;железнодорожный;32,0;56,0;28,0;
2018;8;Северо-Кавказский Федеральный округ;Чеченская республика;железнодорожный;359,0;247,0;-;
2018;8;Сибирский Федеральный округ;Алтайский край;авиационный;4,0;14,0;-;
2018;8;Сибирский Федеральный округ;Алтайский край;автомобильный;857,0;3,0;-;
2018;8;Сибирский Федеральный округ;Алтайский край;железнодорожный;546,0;692,0;119,0;
2018;8;Сибирский Федеральный округ;Республика Алтай;авиационный;-;2,0;-;
2018;8;Сибирский Федеральный округ;Республика Алтай;автомобильный;14,0;-;-;
2018;8;Сибирский Федеральный округ;Республика Алтай;железнодорожный;43,0;279,0;89,0;
2018;8;Сибирский Федеральный округ;Республика Тыва;железнодорожный;99,0;284,0;25,0;
2018;8;Сибирский Федеральный округ;Республика Хакасия;авиационный;24,0;127,0;12,0;
2018;8;Сибирский Федеральный округ;Республика Хакасия;автомобильный;7,0;3,0;-;
2018;8;Сибирский Федеральный округ;Республика Хакасия;железнодорожный;29,0;24,0;7,0;
2018;8;Южный Федеральный округ;Республика Калмыкия;авиационный;12,0;-;-;
2018;8;Южный Федеральный округ;Республика Калмыкия;железнодорожный;317,0;13,0;20,0;
2018;9;Дальневосточный Федеральный округ;Амурская область;железнодорожный;-;24,0;-;
2018;9;Дальневосточный Федеральный округ;Приморский край;авиационный;47,0;9,0;12,0;
2018;9;Дальневосточный Федеральный округ;Приморский край;автомобильный;6,0;-;-;
2018;9;Дальневосточный Федеральный округ;Приморский край;железнодорожный;1815,0;121,0;58,0;
2018;9;Дальневосточный Федеральный округ;Хабаровский край;авиационный;57,0;78,0;-;
2018;9;Дальневосточный Федеральный округ;Хабаровский край;автомобильный;35,0;4,0;-;
2018;9;Дальневосточный Федеральный округ;Хабаровский край;водный;7,0;2,0;-;
2018;9;Дальневосточный Федеральный округ;Хабаровский край;железнодорожный;953,0;183,0;9,0;
2018;9;Приволжский Федеральный округ;Республика Марий Эл;железнодорожный;99,0;228,0;113,0;
2018;9;Приволжский Федеральный округ;Республика Мордовия;автомобильный;38,0;-;-;
2018;9;Приволжский Федеральный округ;Республика Мордовия;железнодорожный;390,0;423,0;3,0;
2018;9;Приволжский Федеральный округ;Удмуртская республика;автомобильный;130,0;48,0;2,0;
2018;9;Приволжский Федеральный округ;Удмуртская республика;железнодорожный;2064,0;998,0;110,0;
2018;9;Приволжский Федеральный округ;Чувашская республика;автомобильный;17,0;-;-;
2018;9;Приволжский Федеральный округ;Чувашская республика;железнодорожный;320,0;52,0;11,0;
2018;9;Северо-Западный Федеральный округ;Архангельская область;железнодорожный;-;36,0;-;
2018;9;Северо-Западный Федеральный округ;Республика Коми;авиационный;8,0;4,0;4,0;
2018;9;Северо-Западный Федеральный округ;Республика Коми;автомобильный;124,0;18,0;-;
2018;9;Северо-Западный Федеральный округ;Республика Коми;железнодорожный;656,0;515,0;142,0;
2018;9;Северо-Кавказский Федеральный округ;Республика Дагестан;железнодорожный;318,0;128,0;48,0;
2018;9;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;автомобильный;29,0;-;-;
2018;9;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;железнодорожный;129,0;130,0;29,0;
2018;9;Северо-Кавказский Федеральный округ;Республика Северная Осетия - Алания;железнодорожный;20,0;70,0;20,0;
2018;9;Северо-Кавказский Федеральный округ;Чеченская республика;железнодорожный;1157,0;287,0;11,0;
2018;9;Сибирский Федеральный округ;Алтайский край;авиационный;20,0;5,0;-;
2018;9;Сибирский Федеральный округ;Алтайский край;автомобильный;358,0;1,0;-;
2018;9;Сибирский Федеральный округ;Алтайский край;железнодорожный;568,0;941,0;134,0;
2018;9;Сибирский Федеральный округ;Республика Алтай;автомобильный;91,0;-;-;
2018;9;Сибирский Федеральный округ;Республика Алтай;железнодорожный;41,0;205,0;82,0;
2018;9;Сибирский Федеральный округ;Республика Тыва;железнодорожный;47,0;287,0;21,0;
2018;9;Сибирский Федеральный округ;Республика Хакасия;авиационный;118,0;86,0;6,0;
2018;9;Сибирский Федеральный округ;Республика Хакасия;автомобильный;4,0;-;-;
2018;9;Сибирский Федеральный округ;Республика Хакасия;железнодорожный;19,0;28,0;3,0;
2018;9;Южный Федеральный округ;Республика Калмыкия;автомобильный;6,0;-;-;
2018;9;Южный Федеральный округ;Республика Калмыкия;железнодорожный;401,0;5,0;23,0;
